120473291 SESSION_BEGIN 24
120640870 SYNCTIME f57
120641096 DOWN 0.3562 0.7969
120641120 MOVE 0.3516 0.7969
120641153 MOVE 0.3464 0.7969
120641187 MOVE 0.3426 0.7969
120641223 DOWN 0.3426 0.7969
120643466 DOWN 0.4344 -0.3187
120643487 MOVE 0.4297 -0.3234
120643537 MOVE 0.4313 -0.3256
120643554 MOVE 0.4313 -0.3156
120643559 DOWN 0.4313 -0.3156
120643887 SELECT 1
120643935 MOVE 0.4191 -0.2746
120643943 MOVE 0.4143 -0.2794
120643954 MOVE 0.4096 -0.2812
120643971 MOVE 0.4048 -0.2812
120643987 MOVE 0.4016 -0.2812
120644003 DOWN 0.4016 -0.2812
120644640 BEGIN 87
120645799 DOWN -0.2031 -0.2906
120645871 MOVE -0.2100 -0.2941
120645881 DOWN -0.2100 -0.2941
120646677 DOWN 0.3656 -0.1469
120646704 MOVE 0.3619 -0.1469
120646721 MOVE 0.3578 -0.1469
120646738 MOVE 0.3556 -0.1469
120646754 MOVE 0.3501 -0.1499
120646771 MOVE 0.3484 -0.1516
120646804 MOVE 0.3469 -0.1469
120646804 DOWN 0.3469 -0.1469
120647688 DOWN -0.1594 0.5437
120647792 DOWN -0.1594 0.5437
120648599 DOWN 0.3812 0.7875
120648638 MOVE 0.3812 0.7838
120648654 MOVE 0.3812 0.7812
120648671 MOVE 0.3781 0.7763
120648688 MOVE 0.3781 0.7716
120648704 MOVE 0.3734 0.7672
120648754 MOVE 0.3717 0.7622
120648758 DOWN 0.3717 0.7622
120650077 DOWN 0.5281 -0.3625
120650188 MOVE 0.5249 -0.3593
120650192 DOWN 0.5249 -0.3593
120650618 DOWN -0.1063 -0.2375
120650655 MOVE -0.1063 -0.2409
120650688 MOVE -0.1027 -0.2476
120650702 MOVE -0.1031 -0.2500
120650702 DOWN -0.1031 -0.2500
120651029 DOWN -0.0281 0.5594
120651122 MOVE -0.0192 0.5518
120651134 MOVE -0.0094 0.5469
120651135 DOWN -0.0094 0.5469
120651375 DOWN 0.4094 0.7500
120651422 MOVE 0.4055 0.7500
120651455 MOVE 0.4062 0.7533
120651469 MOVE 0.4094 0.7594
120651470 DOWN 0.4094 0.7594
120653130 SYNCTIME f87
120653131 DOWN 0.4125 -0.1625
120653139 MOVE 0.4089 -0.1625
120653205 MOVE 0.4094 -0.1592
120653208 DOWN 0.4094 -0.1592
120656409 DOWN -0.3063 0.5312
120656489 MOVE -0.3095 0.5280
120656503 MOVE -0.3031 0.5281
120656503 DOWN -0.3031 0.5281
120656711 SELECT 2
120656773 MOVE -0.2141 0.5766
120656784 DOWN -0.2141 0.5766
120657528 BEGIN 90
120658524 DOWN -0.2375 -0.2438
120658623 MOVE -0.2344 -0.2312
120658628 DOWN -0.2344 -0.2312
120659414 DOWN 0.4094 -0.2500
120659507 MOVE 0.4061 -0.2500
120659508 DOWN 0.4061 -0.2500
120660271 DOWN 0.4594 0.8062
120660357 MOVE 0.4618 0.8118
120660373 MOVE 0.4664 0.8204
120660376 DOWN 0.4664 0.8204
120661020 DOWN -0.2313 0.8188
120661124 MOVE -0.2313 0.8188
120661125 DOWN -0.2313 0.8188
120661844 DOWN -0.1969 -0.1844
120661939 DOWN -0.1969 -0.1844
120662474 DOWN 0.4125 -0.1187
120662557 DOWN 0.4125 -0.1187
120663081 DOWN 0.4750 0.5594
